type,amount,oldbalanceOrg,newbalanceOrig,target
CASH_IN,3235.31,7999.93,2979.5,0
OTHER,4345.92,9878.01,3995.57,0
OTHER,2352.38,4253.18,2914.51,0
CASH_IN,1272.31,6768.83,4571.19,0
PAYMENT,3302.53,7638.41,9313.08,0
CASH_IN,1783.15,2103.81,4833.95,0
CASH_OUT,683.05,169.67,7755.92,0
TRANSFER,4347.19,2518.32,163.69,0
PAYMENT,3300.8,4801.94,7080.09,0
CASH_IN,3735.15,2977.92,3134.12,0
OTHER,2584.85,4558.08,9509.6,0
CASH_IN,832.03,1424.81,9583.84,0
PAYMENT,2816.73,2479.04,3679.34,0
PAYMENT,4148.5,5264.41,1349.26,0
TRANSFER,258.35,5557.78,4046.67,0
CASH_IN,4065.65,6405.02,2124.55,1
PAYMENT,1030.08,3953.2,8408.19,0
OTHER,2808.65,7022.88,7949.44,0
PAYMENT,4104.08,3557.73,3944.56,0
OTHER,3669.55,6024.94,635.2,0
CASH_OUT,3299.58,6722.67,4777.63,0
TRANSFER,505.9,9726.35,4589.45,0
OTHER,404.65,2240.44,8151.97,1
OTHER,3265.57,4816.97,2614.26,0
CASH_OUT,100.99,1542.62,844.34,0
PAYMENT,83.51,8498.62,3091.64,0
CASH_IN,4964.06,8718.78,9458.6,0
CASH_IN,3936.76,4144.02,1472.21,0
CASH_OUT,2371.41,7649.78,1444.97,0
PAYMENT,175.97,5143.81,6615.74,0
OTHER,84.14,1020.43,8434.03,0
CASH_OUT,1651.1,4963.87,729.06,0
CASH_OUT,2507.17,8000.29,9331.28,0
PAYMENT,4443.3,7607.56,7009.99,0
CASH_IN,3757.67,3545.67,7886.44,0
TRANSFER,2489.39,4613.53,7277.58,0
TRANSFER,4810.02,9660.22,9764.18,0
TRANSFER,2769.82,508.1,1216.2,0
OTHER,29.79,2107.79,3491.7,0
CASH_IN,2240.75,953.46,7444.46,1
PAYMENT,4351.93,7540.65,7854.63,0
OTHER,2056.79,6724.66,2322.47,0
TRANSFER,4345.08,307.71,7820.28,0
CASH_IN,63.17,7680.32,7998.83,0
OTHER,1133.09,8494.64,7816.08,0
TRANSFER,1612.95,2869.25,6893.86,0
CASH_OUT,411.27,3138.96,189.18,0
TRANSFER,3436.93,1759.02,5291.01,0
PAYMENT,2722.91,5081.79,8719.25,0
CASH_IN,2434.28,2163.94,6339.28,0
OTHER,2636.3,1917.55,2857.98,1
PAYMENT,2486.78,9471.85,7639.0,0
OTHER,2315.11,967.9,791.62,0
CASH_IN,2610.36,8196.16,1765.52,0
CASH_IN,2628.54,7346.1,8741.45,0
CASH_OUT,4113.61,7363.72,6607.83,0
OTHER,3013.57,5606.16,8706.54,0
OTHER,2701.53,2847.75,2243.46,0
PAYMENT,3478.44,987.03,3465.92,1
CASH_OUT,4347.65,2609.6,6110.49,0
PAYMENT,3446.49,7964.44,4314.26,0
PAYMENT,3476.18,3931.55,1152.77,0
PAYMENT,2003.91,6599.02,272.09,0
TRANSFER,3519.96,9130.53,726.66,0
OTHER,3931.75,9675.44,9023.2,0
TRANSFER,827.41,2572.86,3345.68,0
CASH_OUT,2487.28,2490.68,5452.4,0
TRANSFER,308.41,713.32,7403.86,1
CASH_OUT,3016.32,458.03,8643.37,0
CASH_OUT,4281.05,8034.24,5017.93,0
CASH_IN,4102.2,4279.05,7656.07,0
CASH_OUT,1446.23,534.33,6640.62,0
TRANSFER,1873.94,6668.21,5157.98,0
TRANSFER,4697.69,6581.22,4307.1,0
CASH_OUT,1402.41,7042.33,1864.1,1
CASH_IN,2030.99,8453.9,5503.33,0
PAYMENT,36.48,6895.44,9115.71,0
PAYMENT,2118.64,3509.59,7773.24,1
CASH_IN,3945.18,119.59,4067.49,0
CASH_IN,3638.18,7847.69,2174.44,0
CASH_OUT,3810.15,2166.21,2140.83,0
OTHER,2804.0,1605.93,7672.5,0
TRANSFER,1603.67,3372.06,6553.91,0
TRANSFER,2263.0,6630.1,9709.83,0
CASH_IN,604.71,861.97,9112.84,0
TRANSFER,2690.27,4944.36,9585.18,0
CASH_OUT,3755.27,732.92,9450.25,0
TRANSFER,2927.65,209.67,6847.38,0
TRANSFER,3427.18,8894.84,2098.79,0
CASH_OUT,2938.72,6777.73,9405.04,0
TRANSFER,2775.29,3519.27,993.98,0
PAYMENT,3293.89,8962.46,9232.35,0
TRANSFER,4779.44,9344.46,1469.51,0
PAYMENT,204.4,8475.87,6006.29,0
CASH_IN,364.85,6490.41,6018.34,0
OTHER,282.96,4976.24,6667.21,0
TRANSFER,1726.29,1605.53,9075.61,0
CASH_IN,1390.03,3039.01,459.74,0
CASH_IN,751.93,5981.44,7488.2,0
TRANSFER,2582.72,6358.02,5105.11,0
PAYMENT,1843.97,3097.43,6644.57,0
OTHER,2809.66,5848.11,8384.89,0
TRANSFER,4668.86,681.61,5090.47,0
OTHER,564.98,6267.48,7149.5,0
CASH_OUT,2472.93,4495.21,3364.46,0
CASH_OUT,4270.17,6588.27,6090.77,0
CASH_IN,3092.38,9930.86,5432.01,0
CASH_IN,4550.06,5646.85,9078.24,0
PAYMENT,2531.4,720.7,4747.02,0
OTHER,4607.02,9793.82,5863.58,0
CASH_OUT,144.73,7663.8,3392.2,1
TRANSFER,1563.69,5895.35,6440.83,0
OTHER,4939.32,1732.67,3712.36,0
CASH_OUT,4399.83,1051.87,6315.24,0
CASH_IN,4293.58,1247.42,5590.86,0
CASH_OUT,3825.13,661.7,5065.26,0
CASH_IN,468.92,7392.83,9152.47,1
OTHER,1525.31,252.46,9118.45,0
PAYMENT,1296.52,8331.99,2176.27,1
TRANSFER,1087.29,6188.65,3772.98,0
TRANSFER,2785.51,8958.8,1910.57,0
CASH_OUT,3088.27,8348.4,9577.26,0
CASH_IN,209.59,1344.02,1397.21,0
CASH_IN,342.43,3787.17,3942.92,0
PAYMENT,561.32,2101.62,2277.78,0
PAYMENT,4340.08,4706.95,8828.88,0
TRANSFER,2092.94,4305.9,117.86,0
PAYMENT,560.62,7691.1,8875.51,0
TRANSFER,2681.49,8991.4,8754.58,0
OTHER,2041.42,8278.03,6406.89,0
CASH_IN,1738.06,7207.71,961.8,0
CASH_OUT,4455.43,2886.81,5968.17,0
CASH_OUT,2562.45,2202.27,9753.64,0
PAYMENT,86.59,7676.92,6086.28,0
CASH_IN,3583.1,2333.0,871.15,0
TRANSFER,2148.76,4465.3,6086.77,0
TRANSFER,4962.44,9065.23,4252.89,0
CASH_OUT,4099.82,3514.08,5416.64,0
CASH_OUT,3286.77,6781.01,917.21,0
OTHER,4779.26,9860.33,3913.2,0
TRANSFER,1321.8,3342.22,8252.32,0
PAYMENT,3868.69,5088.34,8191.67,0
OTHER,2791.4,1100.33,7545.15,0
PAYMENT,3965.75,7547.0,2495.45,1
TRANSFER,3854.55,2900.06,5956.97,0
CASH_OUT,3939.27,6223.64,3909.89,1
CASH_IN,2842.23,8850.86,1540.72,0
OTHER,4865.16,320.41,7911.06,0
PAYMENT,2012.51,3337.73,3228.96,0
CASH_OUT,328.38,9782.51,8386.2,0
CASH_IN,1011.22,5500.41,4590.07,0
TRANSFER,4488.29,7342.58,9883.87,1
TRANSFER,100.26,2441.16,2258.24,0
CASH_OUT,1062.4,1259.42,2205.37,0
CASH_OUT,292.5,8492.15,9034.83,0
CASH_IN,845.83,6022.11,9261.06,0
CASH_IN,4390.41,8731.59,1098.3,0
TRANSFER,2470.8,7416.79,6185.91,0
CASH_OUT,3810.2,2039.89,2269.37,0
CASH_OUT,557.86,3826.38,4677.58,0
OTHER,843.22,5870.45,9372.82,0
TRANSFER,606.49,628.09,4742.74,0
OTHER,1038.5,9797.34,5091.6,0
CASH_IN,2112.54,6347.52,8052.02,0
CASH_IN,4767.42,5950.99,2750.27,0
PAYMENT,1654.04,4860.18,2187.51,0
PAYMENT,372.3,8101.08,912.15,0
TRANSFER,4449.83,7323.75,9897.23,0
TRANSFER,2445.34,7070.44,8207.65,0
OTHER,3518.93,6465.37,9640.66,0
PAYMENT,3107.43,725.8,1227.59,0
PAYMENT,2737.74,9357.4,6104.87,0
OTHER,1990.49,3784.18,8922.2,0
CASH_OUT,458.14,4875.44,7701.9,0
PAYMENT,4900.67,4991.5,1636.1,0
PAYMENT,4693.87,3192.87,3168.71,0
CASH_OUT,1395.05,8787.81,2011.98,1
PAYMENT,3580.28,4540.77,307.43,0
TRANSFER,2316.05,5472.93,2077.25,0
CASH_IN,2450.88,2716.9,6223.82,0
OTHER,4776.49,2667.81,7949.7,1
CASH_OUT,4825.26,8192.28,916.81,0
PAYMENT,2171.75,779.28,9900.24,0
OTHER,4739.18,6483.7,4507.31,0
PAYMENT,3188.79,1189.17,7551.46,0
CASH_OUT,1494.58,3992.78,2101.82,0
TRANSFER,1225.06,9234.85,71.89,0
PAYMENT,3586.58,571.99,8067.7,1
CASH_IN,4485.31,9850.54,9122.13,0
CASH_OUT,3378.86,1126.44,768.55,0
CASH_IN,462.41,1475.62,8440.45,0
PAYMENT,432.42,3754.43,7200.82,0
PAYMENT,598.36,9563.74,892.16,0
OTHER,1941.74,604.89,6981.08,0
CASH_IN,1870.8,4543.98,5506.15,0
PAYMENT,4784.01,3054.67,2594.49,0
CASH_IN,3507.8,3828.94,2794.39,0
TRANSFER,4776.25,5883.22,7462.52,0
CASH_IN,4394.14,4209.74,1936.04,0
TRANSFER,801.19,9934.85,9687.22,1
OTHER,2786.63,1428.58,5178.0,0
CASH_IN,3398.5,6481.03,4499.95,0
CASH_OUT,2015.5,5832.21,9333.31,0
TRANSFER,3988.44,3365.96,1777.29,0
OTHER,3124.73,8426.15,2578.06,0
OTHER,2679.85,2763.47,2651.54,0
OTHER,2433.88,1009.0,1650.79,1
TRANSFER,45.23,6923.52,3934.5,0
PAYMENT,3558.16,1720.18,6564.44,0
TRANSFER,3342.37,5497.68,2322.42,0
PAYMENT,4281.39,2209.6,9863.95,0
CASH_IN,4220.86,6701.13,3453.6,0
TRANSFER,1129.17,1381.16,6254.95,0
OTHER,1512.77,2735.3,9750.0,0
PAYMENT,3128.82,3314.48,4904.91,0
TRANSFER,2692.4,2556.42,4207.54,1
CASH_OUT,2037.18,1695.73,2022.62,0
CASH_IN,2132.92,2106.66,5241.56,0
CASH_IN,1660.3,6258.42,4835.41,0
CASH_IN,1564.23,3744.47,7875.69,0
PAYMENT,3078.31,3485.56,5452.13,0
PAYMENT,4930.01,7165.54,1060.92,0
PAYMENT,3656.74,3566.49,1417.0,0
OTHER,1689.07,6494.56,3885.5,0
TRANSFER,1614.05,5608.29,6211.44,0
PAYMENT,2103.68,1900.1,9401.93,0
TRANSFER,4976.93,2282.02,8338.75,0
CASH_IN,1166.62,2268.01,9658.36,0
TRANSFER,487.62,6255.83,3683.55,0
OTHER,4078.21,1266.2,2099.77,0
OTHER,4413.02,3351.09,7757.21,0
CASH_IN,504.21,7035.84,8113.22,0
OTHER,1722.92,4014.42,2373.37,0
TRANSFER,4213.21,2374.21,6030.38,0
PAYMENT,1269.15,9437.09,5208.28,0
PAYMENT,3709.57,5245.29,4833.68,0
TRANSFER,832.0,80.64,6586.55,0
CASH_IN,1808.61,5121.47,690.04,0
CASH_OUT,597.09,4504.96,2182.51,1
TRANSFER,2710.5,9312.5,1540.31,0
PAYMENT,2751.21,3850.42,7729.88,0
TRANSFER,2191.64,324.85,6928.65,0
PAYMENT,2518.38,6699.73,1084.18,0
TRANSFER,1091.79,8168.61,90.47,0
CASH_IN,2166.78,4694.73,4166.25,1
TRANSFER,2001.94,6495.05,6351.12,0
CASH_OUT,1793.4,9230.6,8399.89,0
PAYMENT,4003.68,2877.98,6717.39,1
TRANSFER,4835.47,7015.83,9152.21,0
TRANSFER,2548.44,6550.99,6723.71,0
CASH_IN,3238.73,5536.53,4560.53,0
PAYMENT,336.42,804.2,222.92,0
PAYMENT,2618.96,390.0,4923.44,1
TRANSFER,1700.07,2910.44,9682.96,0
CASH_OUT,1038.98,5114.3,7397.86,0
CASH_OUT,1758.94,9060.24,4916.41,0
CASH_IN,2386.47,6454.96,6150.99,0
CASH_OUT,4863.45,1795.06,6221.33,0
CASH_IN,2358.96,4068.53,5323.31,0
PAYMENT,1183.51,8857.57,7497.85,0
CASH_OUT,2971.64,5239.28,7769.28,0
TRANSFER,467.87,9007.03,3862.98,0
PAYMENT,2526.69,8815.12,8990.47,0
PAYMENT,301.09,5383.97,5130.01,0
CASH_OUT,1331.57,7878.43,4452.4,0
CASH_OUT,3976.22,7621.87,4609.12,0
TRANSFER,4014.29,2425.32,9710.59,0
CASH_OUT,42.04,3997.44,7275.19,1
CASH_OUT,1859.78,1629.04,6872.79,0
CASH_IN,2960.65,2768.09,5159.75,0
CASH_IN,568.56,4986.27,7484.82,0
TRANSFER,4519.43,3949.34,8729.04,0
CASH_IN,2743.57,846.41,3110.97,0
OTHER,4231.93,9302.67,2370.13,0
PAYMENT,4703.2,2797.05,3762.2,0
CASH_IN,4466.6,808.64,5261.99,0
OTHER,4056.23,2632.16,3006.14,0
CASH_IN,4781.87,9117.84,3682.32,0
OTHER,3448.11,5252.42,9209.73,0
CASH_OUT,767.77,9205.89,4441.01,0
CASH_OUT,3783.81,3116.31,3054.24,0
PAYMENT,3744.23,8123.72,7758.2,0
OTHER,4266.46,5680.19,1359.07,0
TRANSFER,2767.35,6021.77,1936.86,0
CASH_IN,2468.17,4565.98,4912.21,0
TRANSFER,3278.8,3226.38,3120.6,0
TRANSFER,761.19,7007.42,2560.81,0
CASH_OUT,1190.57,3865.59,5688.03,0
CASH_OUT,3545.18,6548.89,5008.92,0
TRANSFER,2112.91,4416.6,4217.4,0
CASH_IN,1999.21,2451.24,7419.21,1
TRANSFER,4097.87,9749.38,4545.72,0
CASH_OUT,429.45,8258.67,8289.6,1
CASH_IN,4359.09,3219.35,8039.11,0
CASH_OUT,2475.73,4071.76,8683.88,0
CASH_IN,2153.54,7732.37,2547.15,0
OTHER,1312.62,8200.31,1611.84,0
TRANSFER,1593.77,8491.73,3775.26,0
TRANSFER,845.2,1511.66,4843.69,0
CASH_OUT,4769.8,1882.89,3003.97,0
PAYMENT,3364.7,7556.35,5428.43,0
OTHER,2838.02,1769.2,3741.79,0
CASH_IN,1222.91,9011.89,7165.66,0
CASH_IN,4610.5,2177.52,8955.84,0
CASH_OUT,2126.12,715.4,7040.69,0
CASH_IN,3591.24,4269.51,2305.24,0
PAYMENT,1421.31,8889.53,9340.49,0
TRANSFER,3331.57,3256.78,2200.2,0
TRANSFER,919.47,7176.68,1706.97,0
PAYMENT,3250.21,1462.98,8570.44,0
PAYMENT,242.93,7126.58,9855.49,0
CASH_OUT,481.4,9179.08,2260.04,0
PAYMENT,3295.52,6268.89,6745.6,0
CASH_IN,4248.38,4948.91,4805.55,0
TRANSFER,3424.11,7813.27,284.02,0
PAYMENT,4304.32,3880.71,9238.36,0
CASH_IN,4302.61,8242.54,6940.27,0
CASH_OUT,4733.7,629.33,3523.49,0
CASH_IN,1516.14,6669.23,1921.33,0
PAYMENT,3060.61,6723.38,3745.89,0
CASH_IN,2619.14,2592.62,1679.26,0
CASH_IN,165.69,8382.19,1276.25,0
CASH_OUT,2255.42,5600.88,8640.92,0
CASH_OUT,2558.3,7112.67,1715.49,1
OTHER,752.92,5370.57,5849.34,0
CASH_IN,1823.33,6261.52,6041.85,0
CASH_IN,3197.48,1383.61,9736.42,0
CASH_OUT,817.57,2955.35,1691.48,0
CASH_IN,2597.86,68.15,9301.28,0
TRANSFER,547.82,9704.7,9099.45,0
OTHER,2832.24,946.07,6345.32,1
CASH_IN,4080.87,8327.21,407.97,0
CASH_IN,990.9,121.83,6758.04,0
TRANSFER,3873.15,5159.72,5925.99,0
OTHER,2122.09,2898.77,6201.66,1
CASH_IN,4927.51,7681.45,1860.32,0
PAYMENT,1189.64,3488.61,4031.1,0
CASH_OUT,1556.93,9804.77,2870.46,0
CASH_OUT,4475.45,2994.21,3615.55,0
CASH_OUT,3013.24,3373.6,1052.99,1
TRANSFER,2376.41,7154.47,7934.91,0
CASH_IN,4996.21,4077.28,702.3,0
CASH_IN,4277.59,4773.13,8487.45,0
OTHER,3681.88,3859.75,4094.21,0
PAYMENT,4954.37,2702.66,1564.08,0
PAYMENT,60.03,6416.24,2415.26,0
CASH_IN,806.38,4303.36,2694.96,1
CASH_IN,1479.13,5944.54,1364.54,0
TRANSFER,4100.34,9804.54,3434.28,0
TRANSFER,3817.56,3937.26,5545.76,0
PAYMENT,1365.59,6733.88,2110.01,0
OTHER,3608.55,441.97,7590.95,0
TRANSFER,2448.89,3354.45,3385.08,0
TRANSFER,794.21,7164.46,7525.17,1
PAYMENT,2889.0,9786.23,3723.34,0
CASH_IN,3442.46,9389.75,2800.6,0
CASH_IN,1787.48,6927.42,1303.52,0
TRANSFER,2309.06,6122.7,4562.04,0
TRANSFER,386.33,9173.11,2888.99,0
TRANSFER,3779.37,9762.11,3428.35,0
OTHER,3969.58,1181.43,157.46,0
TRANSFER,3989.93,2122.2,4068.3,0
CASH_IN,3952.03,3468.31,8629.8,0
CASH_IN,3889.76,6207.0,1642.79,0
CASH_IN,3616.85,1402.35,7801.53,0
CASH_OUT,3382.59,4209.14,8658.78,0
PAYMENT,643.11,4080.68,5809.96,0
CASH_IN,2229.35,5245.6,6736.05,0
CASH_OUT,3701.05,5957.87,3650.16,0
PAYMENT,899.34,7466.91,7512.12,0
CASH_OUT,486.05,340.63,6319.28,0
TRANSFER,4728.66,1422.57,6780.31,0
TRANSFER,1391.37,3033.2,738.86,1
CASH_OUT,2160.39,8655.19,5216.21,0
TRANSFER,3479.56,2312.37,3263.06,1
PAYMENT,3243.73,7616.48,210.43,0
OTHER,1527.4,1020.57,4088.76,0
CASH_OUT,4228.1,8099.3,9313.38,0
CASH_OUT,1702.08,510.96,4581.16,0
CASH_OUT,2349.64,8361.69,2298.12,1
TRANSFER,4381.88,5057.6,9676.48,0
CASH_OUT,1300.98,8806.61,6324.65,0
CASH_IN,4533.91,6460.44,6358.67,0
CASH_IN,1188.43,2497.03,7625.49,0
OTHER,900.25,8061.92,7861.48,0
CASH_IN,3552.23,164.38,4845.55,0
TRANSFER,1155.17,8114.94,901.36,0
CASH_OUT,488.26,5543.61,5844.95,0
CASH_OUT,1868.67,79.91,676.09,0
CASH_OUT,2210.76,2141.22,6829.12,0
TRANSFER,4518.13,2011.97,8364.4,0
PAYMENT,682.72,625.95,6252.97,0
PAYMENT,2588.66,8650.75,4263.79,0
OTHER,3030.56,8371.01,6165.71,0
CASH_OUT,3962.57,8348.85,2008.38,0
TRANSFER,991.66,7340.86,7391.49,0
PAYMENT,1917.99,3957.39,3911.48,0
TRANSFER,4346.02,9423.19,6316.0,0
CASH_OUT,2074.1,6022.17,6416.27,0
CASH_OUT,3666.05,520.27,7683.86,0
CASH_IN,544.06,1956.21,6585.55,0
TRANSFER,669.31,1565.28,7392.9,0
TRANSFER,3372.31,4619.81,5535.46,0
CASH_OUT,3617.32,711.15,8605.28,0
CASH_OUT,2377.55,9090.89,8859.83,0
TRANSFER,959.46,4068.33,6424.38,0
CASH_OUT,2624.92,6011.03,5608.79,0
